dropped,beta,pct,equip
55,1.5705340228773637,-17.077912967121637,0.4519100169779288
48-49,1.7351046171011355,-8.388806625907586,0.9086715571643657
23,1.742329015839464,-8.00736807557147,0.9619677993487696
52,1.789436145115915,-5.520174919084243,0.693971975527021
51,1.8356102764952849,-3.0822427984589025,0.5045602087830171
62,1.8638645021551836,-1.5904576317012271,0.6467355692839755
72,1.876615909765238,-0.9172004362312256,0.6570736730774586
56,1.8890447722720958,-0.26097318900156147,0.5989942598431565
31-33,1.894457658356218,0.02481992622450176,0.553460137120559
44-45,1.8957148933197279,0.09120024371290543,0.549138878542686
71,1.8993394194304736,0.28257035428049077,0.2515039091156805
81,1.9339912686272331,2.112141451173719,0.4716608135451312
53,1.95900947514809,3.433069153668331,0.0922286729610096
61,2.0624673141875562,8.895504101334557,0.277737162329541
54,2.136599810013665,12.809600314032199,0.4007695799456902
42,2.251070989677899,18.85352485473289,0.9018256119294752
