year,st,sector,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp,estabs_lag,estabs_denom,in_pdit,entry_rate,exit_rate,jrr,on,exposure,adopt,k,post_absorb,post_on,hi,post_absorb_x,post_absorb_hi,post_on_x,post_on_hi
2001,1,23,8260.0,8316.0,105114.0,106771.0,891.0,10.552,1146.0,13.573,19147.0,5245.0,13902.0,4.912,17.933,22314.0,5652.0,16662.0,5.294,20.899,-3167.0,-2.966,35.866,869.0,869.0,4113.0,8661.0,8488.5,True,10.496554161512634,13.500618483831065,38.83170523831377,0.0,0.010122797594230177,,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,1,23,8125.0,8183.0,97081.0,101244.0,995.0,12.121,1047.0,12.754,16887.0,5248.0,11639.0,5.184,16.68,25109.0,4770.0,20339.0,4.711,24.8,-8222.0,-8.121,33.359,780.0,785.0,3644.0,8316.0,8249.5,True,12.061337050730348,12.691678283532335,41.479988937616056,0.0,0.010122797594230177,,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,1,23,8095.0,8180.0,98795.0,97874.0,1041.0,12.723,1045.0,12.772,20248.0,4710.0,15538.0,4.812,20.688,18443.0,4920.0,13523.0,5.027,18.844,1805.0,1.844,37.687,796.0,796.0,3248.0,8183.0,8181.5,True,12.723828148872457,12.772718939069852,39.531438379957905,0.0,0.010122797594230177,,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004,1,23,8409.0,8493.0,106250.0,102788.0,1155.0,13.816,889.0,10.634,24666.0,5500.0,19166.0,5.351,23.997,18056.0,5802.0,12254.0,5.645,17.566,6610.0,6.431,35.133,679.0,679.0,4065.0,8180.0,8336.5,True,13.854735200623763,10.663947699874047,41.56321749620579,0.0,0.010122797594230177,,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,1,23,8629.0,8738.0,105834.0,105880.0,1173.0,13.618,924.0,10.727,21564.0,6118.0,15446.0,5.778,20.367,21481.0,5696.0,15785.0,5.38,20.288,83.0,0.078,40.576,697.0,697.0,3859.0,8493.0,8615.5,True,13.614996227729092,10.724856363530845,40.654514544767665,0.0,0.010122797594230177,,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,1,23,8960.0,9080.0,111018.0,108251.0,1309.0,14.705,952.0,10.695,23596.0,6386.0,17210.0,5.899,21.798,18223.0,4209.0,14014.0,3.888,16.834,5373.0,4.963,33.668,762.0,762.0,3116.0,8738.0,8909.0,True,14.69300707150073,10.685823324727803,38.6315137966393,0.0,0.010122797594230177,,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,1,23,9223.0,9354.0,115324.0,113467.0,1298.0,14.056,1059.0,11.468,23235.0,6529.0,16706.0,5.754,20.477,19677.0,5503.0,14174.0,4.85,17.342,3558.0,3.136,34.683,863.0,864.0,4191.0,9080.0,9217.0,True,14.082673321037214,11.489638711077358,37.81892532630633,0.0,0.010122797594230177,,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,1,23,8897.0,9026.0,114472.0,114939.0,998.0,10.85,1343.0,14.6,21210.0,6145.0,15065.0,5.346,18.453,22325.0,6054.0,16271.0,5.267,19.423,-1115.0,-0.97,36.907,1084.0,1084.0,4554.0,9354.0,9190.0,True,10.859630032644178,14.613710554951034,37.87661281201333,0.0,0.010122797594230177,,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,1,23,7950.0,8077.0,97280.0,105852.0,722.0,8.438,1681.0,19.646,11891.0,3036.0,8855.0,2.868,11.234,29083.0,6783.0,22300.0,6.408,27.475,-17192.0,-16.242,22.467,1332.0,1333.0,5242.0,9026.0,8551.5,True,8.442963222826405,19.657370052037653,38.708763178777915,0.0,0.010122797594230177,,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,1,23,7261.0,7401.0,88955.0,92928.0,733.0,9.487,1383.0,17.901,14318.0,4148.0,10170.0,4.464,15.408,22423.0,5372.0,17051.0,5.781,24.13,-8105.0,-8.722,30.815,1038.0,1038.0,3845.0,8077.0,7739.0,True,9.471507946763149,17.870525907740017,39.53706095041322,0.0,0.010122797594230177,,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,1,23,6867.0,7013.0,82630.0,85850.0,755.0,10.464,1160.0,16.077,13023.0,3050.0,9973.0,3.553,15.169,19350.0,4858.0,14492.0,5.659,22.539,-6327.0,-7.37,30.339,853.0,853.0,3831.0,7401.0,7207.0,True,10.475926182877759,16.095462744553906,37.70879440885265,0.0,0.010122797594230177,,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,1,23,6703.0,6843.0,80874.0,81715.0,746.0,10.782,898.0,12.979,14683.0,2714.0,11969.0,3.321,17.969,16212.0,3996.0,12216.0,4.89,19.84,-1529.0,-1.871,35.937,635.0,635.0,2748.0,7013.0,6928.0,True,10.767898383371824,12.96189376443418,37.80823594199351,0.0,0.010122797594230177,,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,1,23,6580.0,6722.0,80146.0,80508.0,692.0,10.198,819.0,12.07,14091.0,3325.0,10766.0,4.13,17.503,14811.0,3816.0,10995.0,4.74,18.397,-720.0,-0.894,35.005,577.0,579.0,2509.0,6843.0,6782.5,True,10.202727607814229,12.07519351271655,35.89953793411835,0.0,0.010122797594230177,,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,1,23,6513.0,6657.0,78644.0,79472.0,638.0,9.542,697.0,10.424,12292.0,2573.0,9719.0,3.238,15.467,13855.0,2868.0,10987.0,3.609,17.434,-1563.0,-1.967,30.934,482.0,485.0,1897.0,6722.0,6689.5,True,9.537334628896032,10.419313850063533,32.90089591302598,0.0,0.010122797594230177,,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,23,6530.0,6673.0,81203.0,79864.0,645.0,9.667,643.0,9.637,14289.0,5327.0,8962.0,6.67,17.892,11484.0,2606.0,8878.0,3.263,14.379,2805.0,3.512,28.759,449.0,449.0,1994.0,6657.0,6665.0,True,9.67741935483871,9.647411852963241,32.27111088851047,0.0,0.010122797594230177,,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,1,31-33,4504.0,5035.0,355749.0,354629.0,575.0,11.58,436.0,8.781,36963.0,8203.0,28760.0,2.313,10.423,34594.0,8719.0,25875.0,2.459,9.755,2369.0,0.668,19.51,334.0,335.0,5120.0,4871.0,4953.0,True,11.609125782354129,8.802745810619825,20.177988827760842,0.0,1.0,,-999.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1991,1,31-33,4531.0,5071.0,343959.0,350302.0,465.0,9.13,509.0,9.994,30290.0,7314.0,22976.0,2.088,8.647,42771.0,15424.0,27347.0,4.403,12.21,-12481.0,-3.563,17.294,388.0,391.0,9889.0,5035.0,5053.0,True,9.202453987730062,10.07322382742925,20.856575183698638,0.0,1.0,,-999.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1992,1,31-33,4475.0,5001.0,347933.0,346201.0,446.0,8.903,463.0,9.242,35233.0,7223.0,28010.0,2.086,10.177,31755.0,9208.0,22547.0,2.66,9.172,3478.0,1.005,18.345,340.0,341.0,4280.0,5071.0,5036.0,True,8.856235107227958,9.193804606830819,19.34945306339381,0.0,1.0,,-999.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1993,1,31-33,4509.0,5023.0,351977.0,349671.0,432.0,8.621,408.0,8.142,33446.0,5562.0,27884.0,1.591,9.565,28680.0,7584.0,21096.0,2.169,8.202,4766.0,1.363,16.404,309.0,311.0,3616.0,5001.0,5012.0,True,8.619313647246608,8.14046288906624,17.766986681766575,0.0,1.0,,-999.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1994,1,31-33,4607.0,5131.0,357587.0,357289.0,507.0,9.968,418.0,8.218,35499.0,10493.0,25006.0,2.937,9.936,35023.0,8546.0,26477.0,2.392,9.802,476.0,0.133,19.605,320.0,330.0,4689.0,5023.0,5077.0,True,9.98621233011621,8.23320858774867,19.73808317636423,0.0,1.0,,-999.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1995,1,31-33,4639.0,5173.0,364243.0,360214.0,473.0,9.194,416.0,8.086,35283.0,6697.0,28586.0,1.859,9.795,27368.0,9712.0,17656.0,2.696,7.598,7915.0,2.197,15.195,338.0,338.0,5397.0,5131.0,5152.0,True,9.180900621118013,8.074534161490684,17.392716551827526,0.0,1.0,,-999.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1996,1,31-33,4597.0,5129.0,352364.0,357601.0,427.0,8.308,448.0,8.717,33328.0,10097.0,23231.0,2.824,9.32,43641.0,12374.0,31267.0,3.46,12.204,-10313.0,-2.884,18.64,348.0,352.0,4618.0,5173.0,5151.0,True,8.28965249466123,8.69734032226752,21.52370938560015,0.0,1.0,,-999.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1997,1,31-33,4590.0,5110.0,352775.0,354347.0,437.0,8.519,476.0,9.28,36050.0,9241.0,26809.0,2.608,10.174,39221.0,12557.0,26664.0,3.544,11.069,-3171.0,-0.895,20.347,330.0,332.0,5300.0,5129.0,5119.5,True,8.535989842758083,9.297782986619788,21.242172221014993,0.0,1.0,,-999.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1998,1,31-33,4619.0,5188.0,358573.0,356472.0,454.0,8.798,398.0,7.713,38090.0,9711.0,28379.0,2.724,10.685,34196.0,9715.0,24481.0,2.725,9.593,3894.0,1.092,19.186,302.0,303.0,3019.0,5110.0,5149.0,True,8.817246067197514,7.72965624393086,20.278170515496306,0.0,1.0,,-999.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1999,1,31-33,4515.0,5107.0,340929.0,349531.0,385.0,7.471,478.0,9.275,33413.0,10643.0,22770.0,3.045,9.559,50765.0,15207.0,35558.0,4.351,14.524,-17352.0,-4.964,19.119,348.0,348.0,5658.0,5188.0,5147.5,True,7.479358912093249,9.286061194754735,24.08312853509417,0.0,1.0,,-999.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2000,1,31-33,4420.0,5005.0,335266.0,338319.0,317.0,6.277,408.0,8.078,30673.0,4642.0,26031.0,1.372,9.066,36726.0,10769.0,25957.0,3.183,10.855,-6053.0,-1.789,18.133,288.0,288.0,4018.0,5107.0,5056.0,True,6.269778481012659,8.069620253164556,19.921730674304428,0.0,1.0,,-999.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2001,1,31-33,4381.0,4969.0,311757.0,324122.0,401.0,7.997,492.0,9.812,27889.0,10778.0,17111.0,3.325,8.604,51666.0,20296.0,31370.0,6.262,15.94,-23777.0,-7.336,17.209,330.0,335.0,6445.0,5005.0,4987.0,True,8.04090635652697,9.865650691798676,24.54477017913008,0.0,1.0,,-999.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2002,1,31-33,4316.0,4896.0,289625.0,302151.0,372.0,7.477,530.0,10.653,25943.0,8429.0,17514.0,2.79,8.586,51410.0,14386.0,37024.0,4.761,17.015,-25467.0,-8.429,17.172,363.0,363.0,5759.0,4969.0,4932.5,True,7.54181449569184,10.745058286872784,25.600775771054867,0.0,1.0,,-999.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2003,1,31-33,4226.0,4795.0,280858.0,285136.0,324.0,6.682,432.0,8.909,27812.0,7596.0,20216.0,2.664,9.754,36182.0,12808.0,23374.0,4.492,12.689,-8370.0,-2.935,19.508,289.0,290.0,3355.0,4896.0,4845.5,True,6.686616448250954,8.91548859766794,22.443325290387744,0.0,1.0,,-999.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2004,1,31-33,4176.0,4729.0,275166.0,277365.0,325.0,6.82,398.0,8.352,28886.0,5950.0,22936.0,2.145,10.414,33186.0,11274.0,21912.0,4.065,11.965,-4300.0,-1.55,20.829,277.0,280.0,4074.0,4795.0,4762.0,True,6.824863502729945,8.357832843343132,22.379175454725722,0.0,1.0,,-999.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2005,1,31-33,4170.0,4716.0,283327.0,279305.0,362.0,7.658,384.0,8.124,35521.0,6924.0,28597.0,2.479,12.718,27465.0,7321.0,20144.0,2.621,9.833,8056.0,2.884,19.667,272.0,273.0,3190.0,4729.0,4722.5,True,7.665431445209106,8.131286394917945,22.550974740874672,0.0,1.0,,-999.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2006,1,31-33,4177.0,4718.0,291217.0,287259.0,357.0,7.567,357.0,7.567,33792.0,8879.0,24913.0,3.091,11.764,25890.0,7994.0,17896.0,2.783,9.013,7902.0,2.751,18.026,254.0,255.0,2905.0,4716.0,4717.0,True,7.5683697265210945,7.5683697265210945,20.776372541852474,0.0,1.0,,-999.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2007,1,31-33,4246.0,4770.0,283417.0,288776.0,330.0,6.916,333.0,6.979,25674.0,6481.0,19193.0,2.244,8.891,36246.0,11493.0,24753.0,3.98,12.552,-10572.0,-3.661,17.781,217.0,220.0,3369.0,4718.0,4744.0,True,6.956155143338955,7.019392917369309,21.44222511566058,0.0,1.0,,-999.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2008,1,31-33,4146.0,4662.0,276085.0,279332.0,304.0,6.501,333.0,7.121,24668.0,5937.0,18731.0,2.125,8.831,31353.0,10809.0,20544.0,3.87,11.224,-6685.0,-2.393,17.662,236.0,236.0,3598.0,4770.0,4716.0,True,6.4461407972858344,7.061068702290077,20.055346326235448,0.0,1.0,,-999.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2009,1,31-33,3967.0,4447.0,246317.0,261594.0,233.0,5.112,455.0,9.982,16238.0,6810.0,9428.0,2.603,6.207,46656.0,10089.0,36567.0,3.857,17.835,-30418.0,-11.628,12.415,307.0,308.0,2651.0,4662.0,4554.5,True,5.115819519156878,9.990119661872873,24.042600365451808,0.0,1.0,,-999.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2010,1,31-33,3789.0,4234.0,228833.0,237690.0,204.0,4.7,417.0,9.607,16594.0,2984.0,13610.0,1.255,6.981,34198.0,9457.0,24741.0,3.979,14.388,-17604.0,-7.406,13.963,276.0,276.0,2324.0,4447.0,4340.5,True,4.699919364128557,9.607188111968668,21.369010055113804,0.0,1.0,,-999.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2011,1,31-33,3686.0,4112.0,227678.0,228223.0,205.0,4.915,323.0,7.744,21261.0,3068.0,18193.0,1.344,9.316,22256.0,5966.0,16290.0,2.614,9.752,-995.0,-0.436,18.632,219.0,220.0,1542.0,4234.0,4173.0,True,4.912532949916128,7.740234843038582,19.067753907362537,0.0,1.0,,-999.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2012,1,31-33,3655.0,4075.0,234466.0,232135.0,238.0,5.789,311.0,7.564,25153.0,4558.0,20595.0,1.964,10.836,20500.0,5961.0,14539.0,2.568,8.831,4653.0,2.004,17.662,225.0,227.0,3524.0,4112.0,4093.5,True,5.814095517283499,7.597410528887261,19.666573330174252,0.0,1.0,,-999.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2013,1,31-33,3612.0,4036.0,242261.0,238248.0,237.0,5.845,275.0,6.782,24510.0,3840.0,20670.0,1.612,10.288,16428.0,4349.0,12079.0,1.825,6.895,8082.0,3.392,13.791,196.0,196.0,2614.0,4075.0,4055.5,True,5.843915670077672,6.780914807052152,17.182935428628994,0.0,1.0,,-999.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014,1,31-33,3581.0,4000.0,242561.0,242048.0,220.0,5.477,254.0,6.323,20388.0,4764.0,15624.0,1.968,8.423,19366.0,4881.0,14485.0,2.017,8.001,1022.0,0.422,16.002,172.0,174.0,2138.0,4036.0,4018.0,True,5.47536087605774,6.321553011448482,16.424015071390798,0.0,1.0,,-999.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2015,1,31-33,3561.0,3969.0,248047.0,245886.0,220.0,5.519,255.0,6.397,21971.0,2984.0,18987.0,1.214,8.935,17566.0,5629.0,11937.0,2.289,7.144,4405.0,1.791,14.288,176.0,177.0,1554.0,4000.0,3984.5,True,5.521395407202911,6.399799221985194,16.07940265000854,0.0,1.0,,-999.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1990,1,42,4471.0,5277.0,71192.0,70105.0,550.0,10.51,462.0,8.829,10828.0,3380.0,7448.0,4.821,15.446,8723.0,3132.0,5591.0,4.468,12.443,2105.0,3.003,24.886,334.0,339.0,2174.0,5209.0,5243.0,True,10.49017737936296,8.811748998664887,27.888167748377434,0.0,0.010068582151873931,,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,1,42,4285.0,5106.0,67295.0,68205.0,539.0,10.566,530.0,10.389,9290.0,3257.0,6033.0,4.775,13.621,11211.0,4557.0,6654.0,6.681,16.437,-1921.0,-2.817,27.241,360.0,369.0,3190.0,5277.0,5191.5,True,10.38235577386112,10.208995473369932,30.057913642694817,0.0,0.010068582151873931,,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,1,42,4568.0,5369.0,68228.0,68370.0,552.0,10.316,516.0,9.643,9826.0,3058.0,6768.0,4.473,14.372,10129.0,3526.0,6603.0,5.157,14.815,-303.0,-0.443,28.744,327.0,334.0,1854.0,5106.0,5237.5,True,10.539379474940334,9.852028639618137,29.186777826532108,0.0,0.010068582151873931,,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993,1,42,4634.0,5435.0,69296.0,68773.0,548.0,10.145,481.0,8.905,10014.0,2758.0,7256.0,4.01,14.561,8972.0,2859.0,6113.0,4.157,13.046,1042.0,1.515,26.092,303.0,307.0,1755.0,5369.0,5402.0,True,10.144390966308775,8.904109589041095,27.606764282494584,0.0,0.010068582151873931,,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,1,42,4687.0,5494.0,70688.0,70344.0,505.0,9.213,480.0,8.757,9452.0,2495.0,6957.0,3.547,13.437,8761.0,3343.0,5418.0,4.752,12.455,691.0,0.982,24.909,314.0,319.0,1946.0,5435.0,5464.5,True,9.241467654863209,8.783969256107603,25.8913340156943,0.0,0.010068582151873931,,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,1,42,4801.0,5630.0,74314.0,72455.0,568.0,10.212,432.0,7.767,12101.0,3927.0,8174.0,5.42,16.701,8309.0,2375.0,5934.0,3.278,11.468,3792.0,5.234,22.936,306.0,307.0,1444.0,5494.0,5562.0,True,10.21215390147429,7.766990291262135,28.169208474225382,0.0,0.010068582151873931,,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,1,42,4795.0,5646.0,74995.0,74327.0,538.0,9.553,510.0,9.055,10613.0,2837.0,7776.0,3.817,14.279,9227.0,3109.0,6118.0,4.183,12.414,1386.0,1.865,24.828,361.0,369.0,2260.0,5630.0,5638.0,True,9.54239091876552,9.045760908123448,26.69285723895758,0.0,0.010068582151873931,,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997,1,42,4741.0,5587.0,75708.0,74876.0,501.0,8.949,524.0,9.36,11825.0,3178.0,8647.0,4.244,15.793,10160.0,3318.0,6842.0,4.431,13.569,1665.0,2.224,27.138,339.0,340.0,1932.0,5646.0,5616.5,True,8.92014599839758,9.329653698922817,29.361878305465034,0.0,0.010068582151873931,,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,1,42,4727.0,5583.0,75505.0,76003.0,520.0,9.282,558.0,9.961,11522.0,3348.0,8174.0,4.405,15.16,12325.0,5264.0,7061.0,6.926,16.216,-803.0,-1.057,30.32,358.0,366.0,2973.0,5587.0,5585.0,True,9.310653536257833,9.99104744852283,31.376393037116955,0.0,0.010068582151873931,,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,1,42,4682.0,5547.0,77871.0,76584.0,475.0,8.538,508.0,9.131,11933.0,3206.0,8727.0,4.186,15.582,9464.0,3436.0,6028.0,4.487,12.358,2469.0,3.224,24.716,363.0,366.0,2188.0,5583.0,5565.0,True,8.53548966756514,9.128481581311771,27.939256241512588,0.0,0.010068582151873931,,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,1,42,4591.0,5508.0,79146.0,78672.0,476.0,8.6,530.0,9.575,11429.0,3624.0,7805.0,4.606,14.527,10429.0,3308.0,7121.0,4.205,13.256,1000.0,1.271,26.513,358.0,368.0,1975.0,5547.0,5527.5,True,8.611488014473089,9.588421528720035,27.783709579011596,0.0,0.010068582151873931,,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,1,42,4518.0,5444.0,75515.0,76812.0,504.0,9.2,572.0,10.442,9245.0,3234.0,6011.0,4.21,12.036,11873.0,4038.0,7835.0,5.257,15.457,-2628.0,-3.421,24.072,343.0,363.0,2184.0,5508.0,5476.0,True,9.203798392987581,10.445580715850985,27.49310003645264,0.0,0.010068582151873931,,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,1,42,4467.0,5446.0,74238.0,76894.0,436.0,7.851,651.0,11.722,10640.0,3084.0,7556.0,4.011,13.837,15930.0,5993.0,9937.0,7.794,20.717,-5290.0,-6.88,27.674,355.0,364.0,3005.0,5444.0,5445.0,True,8.007346189164371,11.955922865013774,34.554061435222515,0.0,0.010068582151873931,,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,1,42,4386.0,5342.0,76204.0,75132.0,426.0,7.925,493.0,9.171,11095.0,3187.0,7908.0,4.242,14.767,9007.0,2845.0,6162.0,3.787,11.988,2088.0,2.779,23.977,299.0,302.0,1715.0,5446.0,5394.0,True,7.897664071190211,9.13978494623656,26.755576851408186,0.0,0.010068582151873931,,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004,1,42,4352.0,5321.0,76610.0,76748.0,399.0,7.489,413.0,7.752,10425.0,2806.0,7619.0,3.656,13.583,10607.0,3342.0,7265.0,4.355,13.821,-182.0,-0.237,27.167,245.0,250.0,1525.0,5342.0,5331.5,True,7.483822564006378,7.74641282941011,27.40397143899515,0.0,0.010068582151873931,,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
