sector,pdit_exp,bea_exp,equip_exp
23,0.010122797594230177,0.0265363833762561,0.9619677993487696
31-33,1.0,0.7499027237805226,0.553460137120559
42,0.010068582151873931,0.108212840739172,0.9018256119294752
44-45,0.006467127766780564,0.0837878269188382,0.549138878542686
48-49,0.0006660754346624293,0.0199311732905842,0.9086715571643657
51,0.7251649868153344,0.6708814204551472,0.5045602087830171
52,0.011523080853604288,0.2528302752401499,0.693971975527021
53,0.0007357810034061719,0.0042039480239153,0.0922286729610096
54,0.22372341432012915,1.0,0.4007695799456902
55,0.006436147514005568,0.2471864111498258,0.4519100169779288
56,0.00610848518078656,0.2441347270615564,0.5989942598431565
61,0.0065833037146868015,0.1824494401527644,0.277737162329541
62,0.0063879076213943006,0.1117571114939615,0.6467355692839755
71,0.006466591288980762,0.9437615606314792,0.2515039091156805
72,0.007224112854353704,0.0277075982793695,0.6570736730774586
81,0.006552323461911805,0.1473587179609565,0.4716608135451312
