sector,pdit_exp,bea_exp,equip_exp,struct_raw,equip_raw,equip_share,struct_exp,eqshare_n
23,0.010122797594230177,0.0265363833762561,0.9619677993487696,0.15217391304347824,0.8381642512077294,0.8463414634146342,0.16588514616411928,1.0
31-33,1.0,0.7499027237805226,0.553460137120559,0.10834553440702784,0.48223079994675905,0.8165427090376381,0.11810772590308768,0.9647910971338086
42,0.010068582151873931,0.108212840739172,0.9018256119294752,0.15648085963734049,0.7857622565480188,0.833927298645759,0.170580158935722,0.9853319666995999
44-45,0.006467127766780564,0.0837878269188382,0.549138878542686,0.4744279946164198,0.47846567967698506,0.5021186440677966,0.5171750903770802,0.5932813950080593
48-49,0.0006660754346624293,0.0199311732905842,0.9086715571643657,0.19811320754716982,0.7917271407837444,0.7998533724340176,0.2159636808551742,0.9450717080632484
51,0.7251649868153344,0.6708814204551472,0.5045602087830171,0.19480519480519481,0.4396242055816524,0.6929442508710801,0.21235760826204514,0.8187525730753396
52,0.011523080853604288,0.2528302752401499,0.693971975527021,0.2579338284942606,0.6046590141796083,0.7009784735812133,0.2811742826657571,0.8282454586982635
53,0.0007357810034061719,0.0042039480239153,0.0922286729610096,0.9173450219160927,0.08035900647046547,0.08054393305439332,1.0,0.09516718314784224
54,0.22372341432012915,1.0,0.4007695799456902,0.10561370123691723,0.3491912464319696,0.7677824267782427,0.11512974803778622,0.9071780835131974
55,0.006436147514005568,0.2471864111498258,0.4519100169779288,0.47125000000000006,0.39375,0.4552023121387283,0.5137107508532424,0.5378471123252985
56,0.00610848518078656,0.2441347270615564,0.5989942598431565,0.3466666666666667,0.5219047619047619,0.6008771929824562,0.37790216154721273,0.7099701703827292
61,0.0065833037146868015,0.1824494401527644,0.277737162329541,0.6583629893238434,0.24199288256227752,0.26877470355731226,0.7176830675427835,0.3175724163069107
62,0.0063879076213943006,0.1117571114939615,0.6467355692839755,0.37607891491985207,0.5635018495684341,0.5997375328083989,0.40996452363618,0.7086235978427767
71,0.006466591288980762,0.9437615606314792,0.2515039091156805,0.26851851851851843,0.21913580246913578,0.44936708860759494,0.2927126785488559,0.5309524678072447
72,0.007224112854353704,0.0277075982793695,0.6570736730774586,0.4123581336696091,0.5725094577553594,0.5813060179257362,0.44951258666919164,0.6868457272321378
81,0.006552323461911805,0.1473587179609565,0.4716608135451312,0.5085616438356164,0.4109589041095891,0.44692737430167595,0.5543842629388938,0.5280698082527007
