dropped_fips,beta_rd,pct_change
45,-61.3781917016828,-42.131380147632576
22,-58.03204752399245,-34.38282847215115
4,-55.74216819112458,-29.080233186615423
9,-55.46921722749043,-28.44816997167904
17,-54.582156928851155,-26.394034764624465
48,-51.784200278617696,-19.914902205233258
27,-47.51064943390283,-10.018786616774952
12,-47.50988181699844,-10.01700907255247
47,-47.01699166915788,-8.875640207952504
29,-46.66870458504842,-8.069123714396117
55,-46.45023116106145,-7.563212275561813
34,-45.80927249467346,-6.078966204675792
42,-44.13462212842332,-2.201035603905989
53,-43.11310918593179,0.1644469938977063
8,-42.94219004157926,0.5602386131514824
39,-42.93475046384386,0.5774661889716834
36,-42.56301149139289,1.4382894185956112
32,-42.10051110961367,2.509285740881944
25,-40.99099038371067,5.07856495395256
1,-40.978148836452505,5.108301685916001
41,-40.48106626944855,6.259378792243711
51,-39.901721859216444,7.600946836595977
18,-39.51291467871414,8.501294332082507
19,-39.402858927622376,8.75614667233853
31,-37.91931886045533,12.191529687133068
26,-37.88763314210918,12.264903221847085
24,-37.28890143487807,13.651365767053884
13,-36.34927363229982,15.827229745820667
21,-34.406612505029706,20.325783703227117
35,-34.39480749530688,20.353120160656765
11,-32.15839700421408,25.53189947726783
37,-31.247883986048354,27.640343345136515
6,-27.261152709770236,36.872280664652
