dropped_fips,beta
35,0.24571562531271585
26,0.24781668056074901
4,0.2506230464078273
45,0.2584557294936771
9,0.2719202032522443
22,0.2779253571163025
53,0.27874374890783715
13,0.28238198445354107
36,0.28692273447484923
51,0.3084564717532615
37,0.3105891735120712
17,0.31214855560605725
8,0.31606153198354975
32,0.3196053320412114
42,0.3301625590672186
47,0.33333214844658016
12,0.3523521354518568
29,0.35265781591883977
39,0.35847237701872514
34,0.3621946562963607
25,0.36602911581743486
11,0.3702310047148989
48,0.3703110274792131
1,0.3748624935517973
21,0.37936547766689727
24,0.3796526217305081
31,0.442980510021499
