outcome,A,B,C_raw,C_scaled,common,pA,pB,pC,mean
entry_rate,0.21204954962089897,0.2977298720276638,0.25308887341367037,0.045008329501194905,0.25272154252646895,0.13713713713713713,0.04804804804804805,0.2702702702702703,12.055156234559822
exit_rate,-0.0204166578493388,0.06212429904730454,0.20213715645135702,0.03594727661980991,0.02617702242749463,0.9019019019019019,0.7477477477477478,0.41041041041041043,10.595714642548003
jrr,0.13576262679881265,-0.024497637077581465,0.25161118426531087,0.04474554307683481,-0.06924318015441627,0.6516516516516516,0.9329329329329329,0.7917917917917918,31.51849468417579
