sector,pdit_exp,bea_exp,equip_exp,struct_exp,cyc_beta,pre_growth,jc_sd
23,0.010122797594230177,0.0265363833762561,0.9619677993487696,0.16588514616411928,2.149527312565357,1.9736831099191294,4.049226117751563
31-33,1.0,0.7499027237805226,0.553460137120559,0.11810772590308768,0.884782408798808,-0.9953872076443127,1.8514988377063042
42,0.010068582151873931,0.108212840739172,0.9018256119294752,0.170580158935722,0.8730441363618942,1.996878177162198,1.6490453084259316
44-45,0.006467127766780564,0.0837878269188382,0.549138878542686,0.5171750903770802,1.031584746539278,2.1752598825124374,1.816924363395151
48-49,0.0006660754346624293,0.0199311732905842,0.9086715571643657,0.2159636808551742,1.744025492242183,1.8764376925369894,3.0502586587389278
51,0.7251649868153344,0.6708814204551472,0.5045602087830171,0.21235760826204514,-0.31551991550331315,1.5438000635875022,4.214207953929019
52,0.011523080853604288,0.2528302752401499,0.693971975527021,0.2811742826657571,0.5315478385341104,2.1279524403985586,1.6795755730370003
53,0.0007357810034061719,0.0042039480239153,0.0922286729610096,1.0,1.461317176638268,4.140664773721672,2.6675179763009766
54,0.22372341432012915,1.0,0.4007695799456902,0.11512974803778622,0.8447909973276079,6.379143848177561,1.5877181831397413
55,0.006436147514005568,0.2471864111498258,0.4519100169779288,0.5137107508532424,0.7462676786297875,2.1716957630827483,1.9282433335429054
56,0.00610848518078656,0.2441347270615564,0.5989942598431565,0.37790216154721273,1.8401520599727441,6.688827234443724,3.3175535894873884
61,0.0065833037146868015,0.1824494401527644,0.277737162329541,0.7176830675427835,1.2428326426849368,2.630229574723929,3.429727707786904
62,0.0063879076213943006,0.1117571114939615,0.6467355692839755,0.40996452363618,0.8146172261186154,4.783554567239452,2.2220094412761666
71,0.006466591288980762,0.9437615606314792,0.2515039091156805,0.2927126785488559,1.0712627491407218,4.11398647826321,2.1409156384887185
72,0.007224112854353704,0.0277075982793695,0.6570736730774586,0.44951258666919164,1.0388655529550992,3.8163098327573093,2.3288543075031622
81,0.006552323461911805,0.1473587179609565,0.4716608135451312,0.5543842629388938,1.0423159815960097,2.9278557551094964,2.1649858889388782
