window,outcome,N,sd_raw,sd_resid,sd_resid_adj,var_share_kept,k_params,df_left,n_states
full_1978_2023,entry_rate,44128,4.434633187533128,2.120024939655919,2.2283767838230113,0.22854744790065595,4187,39941,51
full_1978_2023,jrr,44530,11.896362910230806,5.896339859735538,6.194763921839624,0.2456667385424941,4187,40343,51
full_1978_2023,exit_rate,44031,3.622564350142359,1.8477511861826352,1.9424117588732015,0.26017443805783674,4187,39844,51
phase1_1997_2023,entry_rate,25898,3.7471261398138074,1.9415727815408295,2.058430112072676,0.2684896160705088,2857,23041,51
phase1_1997_2023,jrr,26124,9.860324194978345,5.330467699128855,5.648263625220476,0.29225696383826744,2857,23267,51
phase1_1997_2023,exit_rate,25853,3.187508438208734,1.681898991542398,1.7833198072045335,0.278428657267473,2857,22996,51
