k,coef,se
-5,0.5153386292843681,2.6757302730237726
-4,2.873666090037318,1.7514039574786788
-3,2.189156320261313,1.4205506901281872
-2,1.0565604843692744,1.3177343328593356
0,0.04159856073349912,1.0527837761712522
1,4.4834572170192475,2.370534927363137
2,2.137327676282004,2.1130108139689914
3,3.0629207657211657,1.1503665047921576
4,2.041796838887876,0.9571461428960135
5,0.8497587351412499,1.5392740943871512
